Label, Count, Average
EM_Click_CallRecall_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 9010
EM_Click_Waived_Under_SubsititutionFilter_MAIN, 10, 976
EM_Click_Completed_Under_SubstitutionFilters_Ajax_showActionBtnByFilter, 20, 182
Wf_ApproveAllPendingOnSettlementStatus, 10, 10300
EM_GotoAnyPageOf_NoCalls_UnderMarginFilters_Ajax_showActionBtnByFilter, 10, 189
EM_Click_Completed_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 7964
Org_AddOrg_AJAX, 10, 214
EM_Click_Completed_Under_SubstitutionFilters_Ajax_getCountForDefaultFilters, 10, 1557
EM_Click_Recall_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 10168
Wf_ApproveAllSecurityDataOnApprovalsManager, 1, 9336
Wf_GetResultInMSExcelForInterestArchiveReport, 10, 409
Asset_ViewSecurityToAnyPage, 10, 202739
EM_Click_DynamicFilter_Under_AllFilters_Ajax_showActionBtnByFilter, 20, 182
Wf_ApproveAllSSIOnApprovalsManager, 1, 331
Wf_ApproveTickedStatementOnApprovalsManager, 1, 17097
Agmt_TickAssetTypeOnCollateralTab, 30, 2288
Org_SaveOrgGlobalPreference_MAIN, 10, 287
Agmt_SearchTrade, 10, 64897
EM_Click_Completed_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 188
Sys_ApproveAllUser, 10, 239
Sys_GotoSystemPreferencesPage, 10, 245
SaveUserProfile, 10, 3830
Wf_ApproveAllOrgOnApprovalsManager, 2, 478
Sys_GotoHolidayCentrePage, 10, 527
StDt_SearchEligRuleTemplate, 20, 241
Org_GetOrgSearchPageString_Ajax, 20, 200
EM_GotoAnyPageOfRecallUnderMarginFilters_MAIN, 20, 14677
EM_Click_Waived_Under_SubsititutionFilter_Ajax_getCountForDefaultFilters, 10, 1475
Wf_SelectViewDetailForIMArchiveEvent, 10, 2699
EM_Click_DynamicFilter_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 7926
CD_Click_DynamicFilter_On_Agreement_Tab_HTML, 10, 1
Agmt_ApproveAgreementStatus, 20, 5014
EM_Click_Confirmed_Under_SubstitutionFilters_Ajax_showActionBtn, 10, 287
EM_Click_Issued_Under_MarginFilters_Ajax_getColumnSetting, 10, 215
Org_SaveOrgMainDetails_HTML, 10, 1
Agmt_SaveHaircutRuleOnCollateralTab, 10, 10354
Agmt_SearchOrgOnPrinSearchFrame, 20, 284
Agmt_GotoHaircutRulePage, 10, 764
EM_Click_SubConfimation_Under_SubsititutionFilter_Ajax_showActionBtn, 10, 264
EM_Click_Return_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8487
CD_GotoAnyPageof_Dynamic_on_Trade_Tab, 10, 8660
EM_Click_Errors_Under_MarginFilters_Ajax_showActionBtn, 10, 412
EM_Click_Return_Under_MarginFilters_HTML, 10, 1
EM_Click_Call_Under_MarginFilters_Ajax_showActionBtn, 10, 372
Org_AddSubOrgToOrg_Ajax, 10, 276
Asset_SearchSecurity, 10, 212522
Wf_ApproveTickedAgmtOnApprovalsManager, 2, 6151
StDt_GotoEligRuleTemplateEditPage_MAIN, 20, 329
Org_GotoOrgAddAddressPage_Ajax, 20, 238
Org_AddOrg_HTML, 10, 1
Asset_SearchSecurityByMarket, 20, 387
EM_Click_Confirmed_Under_SubstitutionFilters_Ajax_showActionBtnByFilter, 20, 185
Org_GotoOrgGlobalPreferencePage_Ajax_GetMainOrgDetail, 10, 229
EM_Click_CallRecall_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 189
CD_GotoClearingDashboardPage_Ajax_getPicChartData, 10, 10459
Home_Logout, 1, 459
EM_Click_CallRecall_Under_MarginFilters_Ajax_getColumnSetting, 10, 210
Home_Login, 2, 637
EM_Click_DynamicFilter_Under_MarginFilters_Ajax_getColumnSetting, 10, 381
Org_SaveOrgRoles_MAIN, 10, 270
CD_GotoClearingDashboardPage_HTML, 10, 1
CD_Click_DynamicFilter_On_Trade_Tab_Ajax_getCountForFilters_dashboard, 10, 5798
CD_Click_DynamicFilter_On_Trade_Tab_Ajax_SearchByAJAX, 10, 15009
StDt_GototEligRuleViewChangePage, 20, 314
Org_GotoOrgGlobalPreferencePage_HTML, 10, 1
EM_Click_Errors_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 7929
EM_Click_Completed_Under_MarginFilters_HTML, 10, 1
Sys_SavePrivileges_for_instrumentdata, 10, 1987
EM_Click_Confirmed_Under_MarginFilters_Ajax_showActionBtn, 10, 391
EM_Click_Disputes_Under_MarginFilters_HTML, 10, 1
StDt_AddNetEligRuleTemplate_Ajax_isUsedInAgreement, 10, 604
CD_Click_DynamicFilter_On_Agreement_Tab_Ajax_getCountForFilters_trade, 20, 2075
Org_SaveOrgAdditionalFields_HTML, 10, 1
Agmt_SaveTabFixedTrigger, 10, 648
Org_ApproveOrg_HTML, 10, 1
Collateral_Config_GotoCreateLetterTemplatePage, 10, 514
Sys_SaveRolesToUser, 10, 1993
EM_Click_Return_Under_MarginFilters_Ajax_showActionBtn, 10, 684
EM_GotoAnyPageOfReturnUnderMarginFilters_HTML, 10, 1
Agmt_SaveTabDocumentation, 10, 591
Agmt_SaveTabReportingControl, 10, 439
Org_showOrg, 10, 518
EM_Click_PartiallyBooked_Under_SubsititutionFilter_Ajax_showActionBtn, 10, 250
EM_Click_Disputes_Under_MarginFilters_Ajax_getColumnSetting, 10, 390
EM_Click_DeliveryReturn_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8113
EM_GotoAnyPageOf_Errors_UnderMarginFilters, 10, 6133
Collateral_Config_SaveLetterTemplate, 10, 1253
Opt_AddRankingAssetFilter, 10, 386
EM_Click_CallRecall_Under_MarginFilters_MAIN, 10, 13289
EM_GotoAnyPageOf_DynamicFilter_Under_AllFilters_MAIN, 10, 39742
EM_Click_Waived_Under_MarginFilters_MAIN, 10, 29651
EM_Click_DynamicFilter_Under_AllFilters_Ajax_getColumnSetting, 10, 517
Wf_GotoApprovalsManagerPage, 2, 633
StDt_SaveCashflowRule, 10, 483
EM_Click_SubRequest_Under_SubsititutionFilter_Ajax_showActionBtn, 10, 284
Wf_GotoSecurityMovementPage, 10, 431
CD_GotoClearingDashboardPage_Ajax_SearchByAJAX, 10, 20064
StDt_GotoEligRuleTemplateEditPage_Ajax, 20, 341
StDt_GotoEligRuleTemplatePage, 20, 303
Sys_AddHolidayToHolidayCentre, 10, 335
Wf_SearchOrgOnApprovalsManager, 2, 1756
EM_Click_DeliveryReturn_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 196
CD_Click_DynamicFilter_On_Trade_Tab_Ajax_getCountForFilters_agreement, 10, 12956
EM_GotoAnyPageOf_Call_Under_MarginFilters_Ajax_showActionBtnByFilter, 10, 187
EM_Click_DynamicFilter_Under_AllFilters_Ajax_getCountForDefaultFilters, 10, 2344
EM_Click_NoCalls_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 186
Wf_GotoIMArchiveSearchPage, 10, 2673
EM_Click_Disputes_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 7883
EM_Click_Confirmed_Under_MarginFilters_MAIN, 10, 7494
Collateral_Config_ViewPreferencesToAnyTab, 10, 1440
Agmt_DownloadAgmtToExcel, 10, 648
CD_GotoClearingDashboardPage_Ajax_getCountForFilters_dashboard, 10, 7815
EM_Click_Issued_Under_SubsitituionFilters_MAIN, 10, 2598
EM_Click_SubRequest_Under_SubsititutionFilter_Ajax_showActionBtnByFilter, 20, 187
Org_ApproveOrg_Ajax_getOrgSearchPageString, 10, 225
Wf_SearchStatementOnApprovalsManager, 1, 68522
EM_Click_DynamicFilter_Under_MarginFilters_HTML, 10, 1
Org_SaveOrgCreditDetails_MAIN, 10, 586
EM_Click_Confirmed_Under_SubstitutionFilters_MAIN, 10, 787
EM_Click_Issued_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 192
EM_Click_SubRequest_Under_SubsititutionFilter_Ajax_getCountForDefaultFilters, 10, 2141
Asset_GotoExistsInstrumentEditPage, 20, 570
Org_AddSubOrgToOrg_MAIN, 10, 411
EM_Click_Waived_Under_SubsititutionFilter_Ajax_showActionBtnByFilter, 20, 199
Sys_SavePrivilegesOfTab_Collateral, 10, 3718
EM_Click_DynamicFilter_Under_MarginFilters_Ajax_showActionBtn, 10, 374
Home_GotoHomePage, 2, 436
StDt_AddNetEligRuleTemplate_HTML, 10, 1
EM_GotoEMPage_HTML, 10, 1
Sys_GotoAllRolesForUserPage, 10, 470
Sys_SavePrivilegesOfTab_StaticData, 10, 1473
EM_GotoAnyPageOf_Disputes_UnderMarginFilters_Ajax_showActionBtn, 10, 359
EM_Click_SubRequest_Under_SubsititutionFilter_Ajax_getColumnSetting, 10, 378
Sys_ViewPrivilegesToTab_Collateral, 10, 633
EM_Click_Recall_Under_MarginFilters_MAIN, 10, 22777
StDt_AddNetEligRuleTemplate_Ajax_DoSave, 10, 314
Org_SaveOrgRoles_Ajax, 10, 182
EM_GotoAnyPageOf_Call_Under_MarginFilters_HTML, 10, 1
StDt_AddNotNetEligRuleTemplate_HTML, 10, 1
CD_Click_DynamicFilter_On_Trade_Tab_Ajax_getCountForFilters_trade, 20, 2398
EM_Click_Issued_Under_MarginFilters_Ajax_showActionBtn, 10, 378
Agmt_TickAssetClassOnCollateralTab, 10, 2173
Wf_ApproveAllStatementOnApprovalsManager, 1, 232677
Wf_ViewIMArchiveOnReceiveTab, 10, 64869
EM_Click_Return_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 205
Org_SaveOrgRoles_Ajax_getOrgSearchPageString, 10, 195
EM_Click_Confirmed_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8105
EM_Click_NoCalls_Under_MarginFilters_Ajax_showActionBtn, 10, 360
Sys_GotoUserRoleApprovalPage, 10, 406
Sys_ApproveAllRole, 10, 1142
Opt_GetFilterAgmtRulesId, 10, 189
EM_Click_DynamicFilter_Under_AllFilters_Ajax_showActionBtn, 10, 366
EM_Click_Issued_Under_SubsitituionFilters_Ajax_showActionBtn, 10, 308
StDt_GotoCashflowRuleEditPage, 10, 254
Org_GotoOrgCreditDetailsEditPage, 10, 521
